input sentence,translation
"under n is ""noisy,"" too. this further informs that deaf people aren't silent, as people think. deaf people do really make noises.",MOTHER+FATHER MOTHER+FATHER CHAT THAT NOT NINETEEN UNDER DEAF NINETEEN THINK NEAR THAT UNDER THING THAT UNDER REALLY MOTHER+FATHER NONE/NOTHING READY THAT CAN NINETEEN HAPPEN VACATION NOW+AFTERNOON THAT DEAF MAKE PEOPLE
who loves to watch fireworks?,TOTAL TOILET TOOTH/GLASS FIRST-IN-LIST FIREWORKS
john did not visit mary.,NOT-KNOW MARRY MARRY VISIT NOT-YET
sunset and then sunrise.  the house starts shaking loudly.,SUNSHINE START UNDERSTAND LOUSY UPSET FISHING KING THING BECAUSE HUSBAND
the clothes are on sale because they used to be expensive.,SCARE EXPLAIN REFUSE SALE TOILET HOUSE USE USE-SIGN-LANGUAGE TO/UNTIL POINT-TO REASON
"if clothes are on sale, my friends and i are definitely going to the mall.",LIGHTNING THEN ONE INFORM SITUATION FRIEND NONE/NOTHING SITUATION SITUATION SITUATION BOSTON PERSON IDENTIFY AREA IDEA REASON
"he said, ""pissing like a horse is good."" she said, ""no! it's awful.  it's very loud.""",CHINA HEARING ANGRY ANGRY ALSO ANY+ONE THING ANGRY ACROSS HEARING BOXING ACT ALL-DAY BRING ASK_2 AGAIN THING ALL-NIGHT HERE NONE/NOTHING GOOD/THANK-YOU BOXING AND GOOD IDEA NONE/NOTHING ANY APPLE BRING
someone arrived here.,SOMETIMES SOME+ONE ANY+ONE
"john told mary, ""i am buying a house.""",ABOUT AND AREA HEARING ABOUT ASIA ANGELA JOHN AREA AREA AAA
"once he learns the truth, he will be disgusted.",DISCUSS BEFORE_2 HERE BETTER BECAUSE HELMET STILL LEAVE BELT LEAVE-THERE
"there was a lot of beer everwhere, and people mingling.",AUSTRALIA ACCEPT ACCEPT ABOUT ALL-DAY AND ANGELA ANGELA AAA AND WHERE
"my friend looked at him and said ""oh, no, no...""",COAT FRIENDLY LOOK-BY-EYE AND HUSBAND PAY/SPEND WHAT MISUNDERSTAND END CHAT AND UNDERSTAND CHAT GREAT AND TEND
where did you put the tree?,HERE IX NOT BREAK THANK-YOU WHERE
when do you start travelling?,START TRACK-PINKY WHERE STAR+BOMB WHEN
he decided to videotape himself riding on one wheel of the motorcycle.,BOSTON SOMETHING/ONE TOMORROW VIDEOTAPE ANY+ONE WHEEL VIDEOTAPE ONE SITUATION FISHING ONE MOTORCYCLE
he built himself a house made of wood.,ANGRY AMONG_2 ABOUT ARRIVE REFUSE AND HEARING ANGELA
"basically, two different groups informed the world that deaf people do make noises, and that the stories deaf people share about the various noises involve...",STUDENT PEOPLE DIFFERENT VARIOUS THAT NOISE PINEAPPLE PEOPLE VARIOUS MAKE HUSBAND ABOUT DO-DO INFORM PRESIDENT DO-DO MAKE WORLD VARIOUS DOWN DEAF THAN TAKE DEAF GROUP/TOGETHER BASKETBALL WORLD ABOUT WORK
"the teacher, does s/he like movies?",TEA SUNBATHE fs- THEREFORE LIKE BREATHE THEREFORE THEREFORE SUNBATHE
"if there's an emergency, where will you go?",ANGRY ANY+TIME WOMAN SKILL WHEN AND NICE/CLEAN WHEN HERE ANALYZE_2 MEAN
he gets out of bed and goes downstairs to see what is happening.,HEAR THAT HEADACHE FIND/FIND-OUT HAPPEN HEADACHE OH-I-SEE ABOUT OFTEN THAT THAT BED CHAT
"john should go, he should.",HEAR+NOISE HEADACHE SHOCK SHOOT BREATHE HEAR+NOISE
