input sentence,translation
"under n is ""noisy,"" too. this further informs that deaf people aren't silent, as people think. deaf people do really make noises.",REALLY IX MUST NICE/CLEAN CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM IN fs- IT SAME IX NOT DEAF PEOPLE IX MUST PAY fs- OF NOISE MAKE REALLY WOW IX NOT CANCEL/CRITICIZE
who loves to watch fireworks?,TEACHER LIKE MOVIE IX NOT
john did not visit mary.,fs- JOHN IX fs- JOHN
sunset and then sunrise.  the house starts shaking loudly.,IX LOOK IX fs- BEACH IX NOT LIKE fs- IT
the clothes are on sale because they used to be expensive.,POSS FRIEND LOOK LOOK OH-I-SEE VOICE fs- OF NOISE IX NOT
"if clothes are on sale, my friends and i are definitely going to the mall.",IX POSS FRIEND GROUP/TOGETHER fs- LATE NIGHT WHO POSS FRIEND GO-OUT # SO IX fs- VERY
"he said, ""pissing like a horse is good."" she said, ""no! it's awful.  it's very loud.""",IX # IF IX IX KISS-FIST IX CAN FIND/FIND-OUT UMBRELLA IX NOT CANCEL/CRITICIZE
someone arrived here.,IX FINISH SCL
"john told mary, ""i am buying a house.""",# SO IX fs- MARY IX fs- MARY IX IX fs-
"once he learns the truth, he will be disgusted.",fs- BOB IX KISS-FIST IX NOT BUY HOUSE IX
"there was a lot of beer everwhere, and people mingling.",DRESS/CLOTHES IX MUST WRITE WHY
"my friend looked at him and said ""oh, no, no...""",FRIEND IX # WHEN IX
where did you put the tree?,IX NOT LIKE CHOCOLATE DRY-CEREAL IX
when do you start travelling?,IX FRIEND GO-OUT # SO
he decided to videotape himself riding on one wheel of the motorcycle.,AUNT IX MUST NICE/CLEAN CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM IX
he built himself a house made of wood.,LOOK OH-I-SEE SCL SELL fs- LATE NIGHT
"basically, two different groups informed the world that deaf people do make noises, and that the stories deaf people share about the various noises involve...",fs- BOB IX MUST DCL DCL LOOK OH-I-SEE IX DCL DCL LOOK OH-I-SEE # NO IN # IF # LA IX # IF DEAF BCL
"the teacher, does s/he like movies?",TEACHER IX ARRIVE HOME
"if there's an emergency, where will you go?",FRIEND IX NOT IX MUST PAY fs- LATE IX
he gets out of bed and goes downstairs to see what is happening.,IX MUST PAY fs- OF NOISE
"john should go, he should.",fs- JOHN SHOULD BUY HOUSE IX
"he, father, must buy a car for john (i'm telling you).",STUDENT IX CAR BREAK-DOWN IX IX
is mom sick?,IX ARRIVE HOME
"if bob studies for his literature test, he will pass it for sure.",fs- BOB IX fs- BOB IX FUTURE READ BOOK
mother went to the store.,MOTHER IX MUST GIFT CAR
the students refuse to listen to the teacher.,FRIEND GROUP/TOGETHER DEPART CAMP IX TEACHER LIKE MOVIE
"to build his house, he chopped up trees.",# SO IX MUST NICE/CLEAN CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM CLASS_2+BOX/ROOM
"last year, we read a lot of books.",FRIEND GROUP/TOGETHER DCL DCL DCL
where did john live last year?,fs- JOHN FINISH PAY EVERY-MONTH/RENT DCL
"really, i would have preferred a mcdonald's burger--they're better than this one was.  oh well.  ",# SO FOR IX LOOK OH-I-SEE fs- VERY fs- IT # IF IX NOT REASON IX MUST PAY fs- OF PEOPLE
if it's raining i'm still going outside.,# IF IX HAVE BIG # DOG_2 IX CAN ORDER PIZZA_4
he/she will go to school if it's not canceled.,IX MUST PAY fs- LATE NIGHT DCL
those two friends dyed their hair together.,FRIEND GROUP/TOGETHER IX GO-OUT FISHING # SO
"no, i did use the right key. the car is broken.",# IF IX IX HAVE TIME # WHEN
what time does mom finish work? at 2pm.,IF IX MUST WRITE ONE FRIEND GROUP/TOGETHER DEPART CAMP #
the teacher gave each of the students one book.,STUDENT IX MOTHER BOOK IX KISS-FIST READ BOOK
john is going to the library to read a good book.,fs- JOHN FUTURE BUY HOW-MANY BOOK QM
the student there loves chocolate but doesn't like reading.,TEACHER LIKE READ BOOK
john bought many books.,fs- JOHN SHOULD GIFT
"if the teacher requires it, john will read the book.",# WHEN ARRIVE IX IX fs- JOHN FUTURE GIVE MOTHER IX
one of my former students told me a story about her experience when she took the sat in high school.,FRIEND IX fs- OF MANY THING
"when it happens to rain, i stay home.",IF IX # WHEN IX ARRIVE HOME IX NOT
"...it can create a fumble,  ",fs- JOHN FINISH READ BOOK WHY
john wants to sell (his/a) car.,POSS FATHER IX NOT BUY CAR
"""i am fine,"" he said.",POSS fs- JOHN NOT LIKE IX IX
"one well-known videotape by angela petrone stratiy, made in 1999, called ""deaf people have problems,"" shares some experiences about things that make noises, as a warning.",# SO IX NOT CANCEL/CRITICIZE DEAF PEOPLE IX fs- IT BCL BCL BCL BCL BCL BCL BCL BCL BCL
"if i don't study, i am guaranteed to fail.",IX # IF POSS FRIEND IX CAN ICL ICL ICL
"everytime i go to my uncle's house, he tends to stay inside.",REALLY IX NOT IX NOT LIKE MOVIE ACT
who is liz's famous sister?,fs- JOHN POSS FRIEND GROUP/TOGETHER DRUNK POSS
"i sat down and waited for a long time.  finally, i went in. ",IX MUST NICE/CLEAN KITCHEN IX NOT IX IX IX
