input sentence,translation
"under n is ""noisy,"" too. this further informs that deaf people aren't silent, as people think. deaf people do really make noises.",BCL BCL BCL BCL IX DCL DCL
who loves to watch fireworks?,WHO IX MUST NICE/CLEAN KITCHEN
john did not visit mary.,fs- JOHN fs- MARY NOT
sunset and then sunrise.  the house starts shaking loudly.,POSS FATHER THAT KIND fs- IT NOT fs- MARY
the clothes are on sale because they used to be expensive.,DRESS/CLOTHES IX POSS SISTER IX MUST NICE/CLEAN KITCHEN BUT # SO
"if clothes are on sale, my friends and i are definitely going to the mall.",# SO THAT SCL FRIEND IX # WHEN
"he said, ""pissing like a horse is good."" she said, ""no! it's awful.  it's very loud.""",REALLY POSS SISTER IX KISS-FIST LOOK MOVIE DCL fs- ALI MUST NICE/CLEAN KITCHEN BCL IX NOT # DOG_2 # DOG_2
someone arrived here.,IX ARRIVE HOME
"john told mary, ""i am buying a house.""",fs- JOHN IX fs- MARY
"once he learns the truth, he will be disgusted.",SAME SCL SCL
"there was a lot of beer everwhere, and people mingling.",THEN BCL IX NOT CANCEL/CRITICIZE
"my friend looked at him and said ""oh, no, no...""",FATHER ARRIVE HOME fs- BOB HAVE
where did you put the tree?,LOOK FINE DRIVE TO IX CAN
when do you start travelling?,IX MUST PAY EVERY-MONTH/RENT WHERE
he decided to videotape himself riding on one wheel of the motorcycle.,STUDENT IX MUST PAY fs- LATE NIGHT WHY IX JOIN PLAY -
he built himself a house made of wood.,IX CAN RAIN IX NOT BUY CAR IX
"basically, two different groups informed the world that deaf people do make noises, and that the stories deaf people share about the various noises involve...",fs- MARY NOT CANCEL/CRITICIZE POSS FAMILY PROCEED FUTURE CANCEL/CRITICIZE IX CANNOT HEAR BUT STILL IX fs- GRUNT DCL BCL BCL BCL BCL BCL
"the teacher, does s/he like movies?",TEACH+AGENT TEACH+AGENT TEACH+AGENT TEACH+AGENT IX FINISH IX HAVE BIG
"if there's an emergency, where will you go?",# IF THAT NOT RAIN DEAF PEOPLE DCL
he gets out of bed and goes downstairs to see what is happening.,IX # SO IX fs- OF IX MAKE LOOK
"john should go, he should.",fs- JOHN GIFT CAR
"he, father, must buy a car for john (i'm telling you).",POSS FATHER ARRIVE HOME IX SAY IX FUTURE NOT # SO FINE
is mom sick?,IX KISS-FIST BUY
"if bob studies for his literature test, he will pass it for sure.",# SO POSS fs- OF IX FAVORITE/PREFER fs- OF MANY THING
mother went to the store.,IX MOTHER IX DEPART CAMP
the students refuse to listen to the teacher.,FATHER CAR WHO HAVE TEACHER GIFT fs- GRUNT
"to build his house, he chopped up trees.",IF SNOW SCHOOL DCL DCL DOG DCL
"last year, we read a lot of books.",IF FAMILY GO-OUT FISHING fs- LATE NIGHT
where did john live last year?,fs- JOHN FINISH GO-OUT PAST+NIGHT PAST+NIGHT
"really, i would have preferred a mcdonald's burger--they're better than this one was.  oh well.  ",THAT FOR FRIEND GROUP/TOGETHER DEPART FOR FRIEND GROUP/TOGETHER IX
if it's raining i'm still going outside.,# OK SCL SELL NOT CANCEL/CRITICIZE POSS FATHER IX CAN GIVE
he/she will go to school if it's not canceled.,DCL DCL DCL IX THAT IX IX IX fs- LATE NIGHT
those two friends dyed their hair together.,POSS FRIEND GROUP/TOGETHER GO-OUT SELL WHY RECENT-PAST
"no, i did use the right key. the car is broken.",IX IX fs- BILL IX MAN NEW FRIEND IX HAVE PINEAPPLE
what time does mom finish work? at 2pm.,ATTENTION-WAVE POSS FRIEND GROUP/TOGETHER WHY IX NOT LIKE PINEAPPLE fs-
the teacher gave each of the students one book.,TEACHER NOT ARRIVE HOME fs- VERY CHOCOLATE
john is going to the library to read a good book.,fs- JOHN GIFT IX GO-OUT BOOK READ BOOK QM
the student there loves chocolate but doesn't like reading.,FATHER IX MUST CHOCOLATE ARRIVE QM
john bought many books.,fs- JOHN GIFT BOOK
"if the teacher requires it, john will read the book.",# IF IX fs- JOHN READ BOOK GIVE CHOCOLATE
one of my former students told me a story about her experience when she took the sat in high school.,AUNT IX NOT IX HAVE fs- BEACH WHY # SO IX # DOG_2 IX SAY IN POSS CAR BREAK-DOWN IX
"when it happens to rain, i stay home.",# WHEN FRIEND GROUP/TOGETHER NOT LIKE CHOCOLATE
"...it can create a fumble,  ",fs- BOB IX fs- JOHN SHOULD IX HAVE
john wants to sell (his/a) car.,fs- JOHN READ YESTERDAY WHY NOT BUY CAR
"""i am fine,"" he said.",fs- BOB IX FINISH
"one well-known videotape by angela petrone stratiy, made in 1999, called ""deaf people have problems,"" shares some experiences about things that make noises, as a warning.",REALLY IX REALLY POSS FAMILY VACATION EVERY-YEAR WHO MAKE REALLY POSS fs- SPEECH DEAF PERSON # LA # SO DCL TOGETHER/GO-STEADY_2 BUOY QM # SO THAT MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER
"if i don't study, i am guaranteed to fail.",IF IX THAT IX NOT IX # IF IX IX # SO
"everytime i go to my uncle's house, he tends to stay inside.",POSS FAMILY IX ARRIVE HOME GO-OUT WHERE
who is liz's famous sister?,POSS NEW FRIEND IX # NO NOT
"i sat down and waited for a long time.  finally, i went in. ",IX IX CAN IX fs- VERY MARY DEPART FISHING WHY IX THINK BUOY
did john read the book?  when?,fs- JOHN POSS MOTHER FINISH CHOCOLATE DRY-CEREAL
what kind of car did he buy?,POSS FATHER IX fs- JOHN GIFT fs-
how many books does john want to buy?,fs- JOHN FUTURE GO-OUT MOVIE WHY POSS FATHER
where did the friends drive to?,FRIEND IX FRIEND IX FINISH WHERE
i found someone's book.,MOTHER READ BOOK IX HAVE IX
“the economy now is great! it`s fine.” “no! it`s really messed up now.”,IX fs- JOHN POSS NEW FRIEND IX MUST PAY EVERY-MONTH/RENT IX HAVE
"...anyway, i wrote that i wanted a burger with fries, just simple...cooked medium..",POSS MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER
"when bob starts the fire, we will collect logs to keep it going.",fs- BOB IX FINISH READ BOOK GIVE CHEER WOW BUOY
"it feels like they have died, and become a zombie, disconnected from the reality of the world. they talk, but they cannot hear.",IX fs- TO fs- JOHN SHOULD DCL DCL DCL REALLY IX NOT IN PUBLIC IX IX LOOK IX # SO IX CAN ICL IX IX
mary is a vegetarian.,IX LOOK PERSON WHO
"when it was time for his voice test, his voice didn't match the character. things weren't like they used to be and his career slumped.",LOOK IX IX MUST NICE/CLEAN KITCHEN # NO # IF IX IX LOOK HEAR LOOK IN fs- SPEECH GROUP/TOGETHER SOON WHY IX MUST NICE/CLEAN KITCHEN
my friends crashed the party.,FRIEND DEPART HOME fs- RENT
"no, the car's not broken.",IX MUST IX WHO IX BUOY
"i rummaged in the trunk.  i admit that it was my first time changing a tire. i know all men should know how, but unfortunately, i didn't.",BCL BCL BCL NOT LIKE fs- LATE NIGHT IX
... on which area each would have and went ahead to start setting them up.,IX MUST NICE/CLEAN KITCHEN IX LOOK MOVIE DEAF PERSON CAN IN SCHOOL
i remember i was young.  it was my first book i read...,IX LOOK PERSON READ BOOK FUTURE KNOW IX fs- BEACH NOT-YET DO-DO
"if john did that to me, we would have broken it off a long time ago.",fs- JOHN IX ARRIVE HOME IX NOT DEAF PEOPLE IX IX MUST PAY fs- MARY
"if my son is born tomorrow, he will be born in 2013.",# IF RAIN fs- RENT WHY IX # SD HAVE MANAGE/CONTROL HOW IN ONE STORY #
"mary enjoys acting, not reading.",fs- MARY BUY HOUSE
"does john drive mary to work? no, he usually drives amy to work.",fs- JOHN NOT FINISH IX fs- MARY IX HAVE BIG # IF fs- MARY IX
"oftentimes, people who have experience  talking on the phone, visualize what the person they're talking to might look like.",# OR RAIN IX NOT CANCEL/CRITICIZE fs- LATE IX
she talked into my ears and i didn't pay attention.,THEN IX KISS-FIST READ BOOK QM
my friend is calling home on the video phone.,PARTY GROUP/TOGETHER IX fs- JOHN IX
