input sentence,translation
"under n is ""noisy,"" too. this further informs that deaf people aren't silent, as people think. deaf people do really make noises.",REALLY REALLY NOISE NOW+AFTERNOON NEWTON BOSTON REALLY THAT SITUATION UNDER NINETEEN NICE/CLEAN MAKE OTHER UNDER RAIN NOISE NINETEEN MAKE THIS REALLY DO-DO NONE/NOTHING DO-DO GROUP/TOGETHER THIS DEAF NEWTON PEOPLE THAT
who loves to watch fireworks?,FIRST-SECOND-THIRD-IN-LIST FIRST-IN-LIST FIREWORKS WATCH TOGETHER/GO-STEADY_2
john did not visit mary.,VISIT NOT NOT NOTHING-AT-ALL NOT-KNOW
sunset and then sunrise.  the house starts shaking loudly.,BOXING THEN BRING BREATHE LANDSCAPING HEARING NONE/NOTHING FISHING THING WHEN
the clothes are on sale because they used to be expensive.,THEN TOMORROW EXPLAIN BELONG HOUSE USE AREA MAYBE REFUSE VACATION HOUSE
"if clothes are on sale, my friends and i are definitely going to the mall.",INTERCOURSE+fs-UP BOSTON BOSTON THING SOON THING INCLUDE/INVOLVE DRESS/CLOTHES ONLY BRING IDEA SITUATION IDENTIFY ICL INFORM TO/UNTIL
"he said, ""pissing like a horse is good."" she said, ""no! it's awful.  it's very loud.""",HEAR ARRIVE AND ANY+ONE NONE/NOTHING UMBRELLA ANY+ONE A-LOT A-LOT GOOD ATTEMPT HEARING ACTION BRING NONE/NOTHING ACT ASK GOOD/THANK-YOU APPLE ACT ABOUT IDEA ANY+ONE GOOD/THANK-YOU ALL-NIGHT THING THING HEAR A-LOT
someone arrived here.,ARRIVE ARREST ANY+ONE
"john told mary, ""i am buying a house.""",ARRIVE AREA ACCEPT ASIA AREA AND ANY+ONE AGAIN ASIA MARY AUSTRALIA
"once he learns the truth, he will be disgusted.",HEADACHE HEAD-TRIP HEAR STILL FRANCE BECAUSE BELONG BELONG HERE BEACH
"there was a lot of beer everwhere, and people mingling.",ASIA ANGRY AND AND A-LOT AAA OFTEN AUSTRALIA AAA BEER BEER
"my friend looked at him and said ""oh, no, no...""",COAT UNDERSTAND UNDERSTAND BOAT EAT MEAT COAT LOOK-AROUND EAT PAY/SPEND LOOK-OVER LOOK-BY-EYE THAT BOAT LOOK-AROUND FRIEND
where did you put the tree?,TREAT TREE ANY+WHERE HERE HERE WHEW/RELIEVED
when do you start travelling?,COOK/KITCHEN DOWN STAY_2 TRACK-PINKY TRANSFER
he decided to videotape himself riding on one wheel of the motorcycle.,ONE VIDEOTAPE PERSON NONE/NOTHING VIDEOTAPE HEAR WHERE ONE VIDEO-GAME WHEEL HEADACHE WHEEL
he built himself a house made of wood.,HERE AND ASIA AAA AUSTRALIA HEADACHE ALSO ACCEPT
"basically, two different groups informed the world that deaf people do make noises, and that the stories deaf people share about the various noises involve...",VARIOUS TWO WORLD VARIOUS TWO AND HUSBAND TEACH+AGENT WORLD EXAMPLE VARIOUS MAKE THEN DO-DO TWO TWO PEOPLE DO-DO THAT MAKE ABOUT TWO DIFFERENT DO-DO CHAT VARIOUS FIND/FIND-OUT VARIOUS OUT
"the teacher, does s/he like movies?",MOVE-AROUND LIKE LOOK-LIKE MOVIE BREATHE MOVE-AWAY HITCH-HIKE HITCH-HIKE TEACH
"if there's an emergency, where will you go?",AND LEAVE-THERE WOMAN ANYWAY/NOT-MATTER ANGRY SKILL CAN ANSWER+AGENT MEAN WHEW/RELIEVED ANY
he gets out of bed and goes downstairs to see what is happening.,FIND/FIND-OUT OH-I-SEE OFTEN SEE-SEE OFTEN OUT HERE SEE-SEE SEE SEE-SEE ABOUT SEE-SEE HERE
"john should go, he should.",SHOE JOHN SHORT-HEIGHT HEAVY HEAD-TRIP SHOE
"he, father, must buy a car for john (i'm telling you).",ASK BUY JOHN BUY ACT HEARING ALL-NIGHT NONE/NOTHING AND AREA AND ASIA AREA AUSTRALIA MUST CAR CAR
is mom sick?,SICK/SILLY NOT SICK/SILLY
"if bob studies for his literature test, he will pass it for sure.",HEARING FOR STUDY PASS BOB FOR BOB BOB HEAR BOB FOR HEADACHE HIT SIT
