input sentence,translation
"under n is ""noisy,"" too. this further informs that deaf people aren't silent, as people think. deaf people do really make noises.",THAT THIS MAKE THIS THIS DEAF THIS THIS THIS REALLY REALLY MAKE THAT THIS REALLY MAKE DEAF THIS THIS THIS THAT REALLY THIS THIS DEAF REALLY THIS DEAF THIS MAKE
who loves to watch fireworks?,WHO WATCH WATER WATCH WATCH
john did not visit mary.,NOT NOT JOHN NOT NOT
sunset and then sunrise.  the house starts shaking loudly.,UNDERSTAND NONE/NOTHING THING START THING START ROWING THING REFUSE START
the clothes are on sale because they used to be expensive.,BECAUSE ONE SALE TOMORROW BECAUSE BECAUSE ONE BECAUSE ONE SALE TOMORROW
"if clothes are on sale, my friends and i are definitely going to the mall.",THEN HEARING AND FRIEND AND HUSBAND TOMORROW ICL TO/UNTIL FRIEND ONE THING AND NONE/NOTHING AND AND
"he said, ""pissing like a horse is good."" she said, ""no! it's awful.  it's very loud.""",AUNT HEAR ARRIVE FISHING ACT ACT AND GOOD/THANK-YOU HEAR THING HEAR THING AND HEARING HEARING AND GOOD/THANK-YOU HEARING HEAR THING
someone arrived here.,ONE SOME+ONE SOME+ONE
"john told mary, ""i am buying a house.""",ANGELA AUSTRALIA AUSTRALIA JOHN JOHN AUSTRALIA ASIA AREA AAA ASIA ANGELA
"once he learns the truth, he will be disgusted.",MAYBE HEARING ONCE EXPERIENCE ONCE BELONG HEADACHE ONCE STILL HERE
"there was a lot of beer everwhere, and people mingling.",AREA WAS ASIA ASIA AND AUSTRALIA PEOPLE PEOPLE PEOPLE AND AREA
"my friend looked at him and said ""oh, no, no...""",THAT LOOK THAT AND AND AND THAT AND LOOK FRIEND AND LOOK
where did you put the tree?,PUT TREE PUT-AWAY GOOD/THANK-YOU HERE PUT
when do you start travelling?,WHEN WHERE WHEN WHEN WHEN
he decided to videotape himself riding on one wheel of the motorcycle.,ONE ONE ONE ONE ONE VIDEOTAPE WHEEL WHEEL ONE VIDEOTAPE WHERE HEADACHE
he built himself a house made of wood.,AUSTRALIA HEADACHE HOUSE AUSTRALIA HEADACHE AUSTRALIA HOUSE HEADACHE
"basically, two different groups informed the world that deaf people do make noises, and that the stories deaf people share about the various noises involve...",AND AND PEOPLE AND MAKE AND MAKE TWO THAT DIFFERENT PEOPLE DEAF PEOPLE DEAF PEOPLE AND MAKE PEOPLE MAKE DEAF PEOPLE AND AND DEAF PEOPLE THAT AND TWO AND
"the teacher, does s/he like movies?",THEN TEACHER LIKE TEACH+AGENT MOVIE MOVIE_2 MOVIE TEACHER NOT-LIKE
"if there's an emergency, where will you go?",THEN MEAN AND AND STILL AND MEAN CAN CAN STILL CAN
he gets out of bed and goes downstairs to see what is happening.,AND OUT SEE AND WHAT SEE-SEE AND AND SEE AND OUT SEE-SEE OUT
"john should go, he should.",JOHN JOHN HEAR SHOW HEADACHE HEADACHE
"he, father, must buy a car for john (i'm telling you).",JOHN MUST CAR MUST BUY CAR FOR MUST BUY FOR-FOR FOR CAR MUST MUST CAR CAR AREA
is mom sick?,THIS CRISIS SICK-OF
"if bob studies for his literature test, he will pass it for sure.",BOB PASS FOR-FOR PASS BOB PASS PASS FOR-FOR PASS HEADACHE HEADACHE BOB FOR-FOR FOR-FOR
mother went to the store.,FATHER MOTHER GROUP/TOGETHER STOP MOTHER+FATHER
the students refuse to listen to the teacher.,TEACHER REFUSE LISTEN REFUSE TEACH+AGENT TEACHER HOUSE REFUSE
"to build his house, he chopped up trees.",HEADACHE BUILD CHOCOLATE HOUSE HEAR HERE HEADACHE BUILD TO/UNTIL
"last year, we read a lot of books.",AUSTRALIA READ READ BOOK ANGELA AREA AUSTRALIA AREA AUSTRALIA
where did john live last year?,LAST LAST LIVE JOHN ARRIVE WHERE
"really, i would have preferred a mcdonald's burger--they're better than this one was.  oh well.  ",REALLY OH-I-SEE OH-I-SEE OH-I-SEE AND IDENTIFY THAT CHARACTER AND READY THINK REALLY THING ENTER ENTER THING REALLY A-LOT THAT REALLY IMPORTANT REALLY IMPORTANT OH-I-SEE
if it's raining i'm still going outside.,RAIN STILL STILL BILL STILL STILL BRING NONE/NOTHING NONE/NOTHING NONE/NOTHING THING
he/she will go to school if it's not canceled.,GO-OUT NOT GO-OUT CAN SCHOOL STILL STILL NOT SCHOOL STILL NOT TO/UNTIL CAN
those two friends dyed their hair together.,TWO DYE TWO TWO HAIR HAIR DYE
