input sentence,translation
"under n is ""noisy,"" too. this further informs that deaf people aren't silent, as people think. deaf people do really make noises.",SAME DCL REALLY fs- BOB IX REALLY WOW IX MUST DO LOOK LOOK BCL BUT MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER TWO
who loves to watch fireworks?,# IF ARRIVE HOME fs-
john did not visit mary.,fs- JOHN FUTURE GO-OUT IX
sunset and then sunrise.  the house starts shaking loudly.,LOOK PERSON IX fs- BOB IX IX MAKE NOISE IN
the clothes are on sale because they used to be expensive.,DRESS/CLOTHES IX fs- IT # LA IX MUST PAY fs- CREAM
"if clothes are on sale, my friends and i are definitely going to the mall.",FRIEND POSS FRIEND FRIEND IX fs- BEACH HAVE MOTHER+FATHER MOTHER+FATHER IX fs- BILL DCL fs- OF
"he said, ""pissing like a horse is good."" she said, ""no! it's awful.  it's very loud.""",IX LOOK PERSON CAN DCL DCL DCL DOG IX CANNOT EAT EAT-UP
someone arrived here.,MOTHER SCL IX
"john told mary, ""i am buying a house.""",fs- BOB POSS FAMILY IX MUST
"once he learns the truth, he will be disgusted.",PEOPLE CAN FIND/FIND-OUT UMBRELLA IX NOT HAPPY IX MUST WRITE
"there was a lot of beer everwhere, and people mingling.",REALLY NONE SCHOOL CANCEL/CRITICIZE POSS MOTHER+FATHER MOTHER+FATHER ABOUT IX
"my friend looked at him and said ""oh, no, no...""",FRIEND IX # IF IX # SD IX IX # IF IX NOT
where did you put the tree?,# IF POSS FAMILY DCL DCL
when do you start travelling?,POSS FRIEND DEPART TOGETHER/GO-STEADY
he decided to videotape himself riding on one wheel of the motorcycle.,SAME # IF FRIEND LOOK THING ABOUT SAME # VP ATTEMPT ALL-NIGHT
he built himself a house made of wood.,IX MUST DECIDE fs- SUE fs- OF CAN
"basically, two different groups informed the world that deaf people do make noises, and that the stories deaf people share about the various noises involve...",fs- JOHN POSS NEW PEOPLE WHO DCL COW FIND/FIND-OUT BOSTON ICL SAME
"the teacher, does s/he like movies?",REALLY SAME
"if there's an emergency, where will you go?",IDEA LOOK DCL NOT IX # NO IX # OK FUTURE
he gets out of bed and goes downstairs to see what is happening.,ONE SAME DCL LOOK LOOK
"john should go, he should.",fs- JOHN POSS FATHER IX MUST
"he, father, must buy a car for john (i'm telling you).",FATHER IX MUST IX HAVE BIG POSS CAR BREAK-DOWN
is mom sick?,FATHER IX CAN
"if bob studies for his literature test, he will pass it for sure.",fs- BOB IX # IF fs- BOB IX LOOK
mother went to the store.,FRIEND GO-OUT WHO IX HAVE
