input sentence,translation
"under n is ""noisy,"" too. this further informs that deaf people aren't silent, as people think. deaf people do really make noises.",REALLY NOISE MAKE REALLY POSS REALLY MAKE LIST fs- GRUNT ACCEPT IX SAME LOOK OH-I-SEE IX NOT REASON # OK
who loves to watch fireworks?,LOOK SEE DCL DCL DCL
john did not visit mary.,fs- JOHN IX HAVE DEPART
sunset and then sunrise.  the house starts shaking loudly.,fs- JOHN CAN LOOK WHO NOT fs- ALI POSS EXPERIENCE
the clothes are on sale because they used to be expensive.,FRIEND PROCEED NOT # SALE IX FUTURE DECIDE IX REFUSE BPCL
"if clothes are on sale, my friends and i are definitely going to the mall.",# IF IX # IF IX MUST WAIT REALLY POSS BIRTHDAY_3 RAIN IX NOT # RA
"he said, ""pissing like a horse is good."" she said, ""no! it's awful.  it's very loud.""",# NO IX THINK IX KISS-FIST IX FAVORITE/PREFER fs- MPH BUT # NO IX LOOK MOTHER+FATHER MOTHER+FATHER ABOUT POSS MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER QM
someone arrived here.,HAVE BIG #
"john told mary, ""i am buying a house.""",fs- JOHN fs- MARY GIVE SEE DCL WHO IX
"once he learns the truth, he will be disgusted.",# IF IX FUTURE IX CAN FIND/FIND-OUT TRIP IX KISS-FIST
"there was a lot of beer everwhere, and people mingling.",SNOW SCHOOL fs- RENT WHO fs- OF fs- OF IX SCL
"my friend looked at him and said ""oh, no, no...""",SCL POSS FRIEND IX
where did you put the tree?,CAN RAIN IX GO-OUT TRIP QM
when do you start travelling?,IX ARRIVE HOME fs- OF
he decided to videotape himself riding on one wheel of the motorcycle.,IF RAIN FIND/FIND-OUT SOME fs- ORIENTATION DCL SAFE fs- OF ON fs-
he built himself a house made of wood.,SAY DEAF PEOPLE WHERE IX FUTURE TAKE-UP BUT
