input sentence,translation
"under n is ""noisy,"" too. this further informs that deaf people aren't silent, as people think. deaf people do really make noises.",DEAF DO-DO REALLY DEAF PEOPLE THIS MAKE THIS THAT NEWTON NICE/CLEAN NINETEEN NONE/NOTHING REALLY NICE/CLEAN NEWTON THAT DO-DO MAKE THIS DEAF NICE/CLEAN NOW+AFTERNOON UNDER DEAF NEWTON DEAF THIS NOW+AFTERNOON NICE/CLEAN
who loves to watch fireworks?,WATCH WHO WATER+DCL WATER WATCH
john did not visit mary.,JOHN JOHN MARY NOTICE NOT-LIKE
sunset and then sunrise.  the house starts shaking loudly.,SUNSET LOUD THING UPSET BOXING THING BRING HEARING BECAUSE STAND-UP
the clothes are on sale because they used to be expensive.,ONE ONE-MONTH TOMORROW BECAUSE BECAUSE TO/UNTIL POINT-TO DRESS/CLOTHES MAYBE SALE AREA
"if clothes are on sale, my friends and i are definitely going to the mall.",ONE SITUATION TO/UNTIL AREA NONE/NOTHING TO/UNTIL NONE/NOTHING AND AREA ONE HEARING ONE ONE INTERPRET DRESS/CLOTHES AND
"he said, ""pissing like a horse is good."" she said, ""no! it's awful.  it's very loud.""",AND ABOUT HEAR NONE/NOTHING GOOD/THANK-YOU THING GOOD/THANK-YOU HERE HEARING BRING HEAR ARRIVE THING ALSO HEAR IDEA NONE/NOTHING THING ACT HERE LOUD ABOUT AGAIN AND ACT HEAR HEAR ALL-NIGHT ACTION
someone arrived here.,SOME+ONE SOME+ONE ALONE
"john told mary, ""i am buying a house.""",ANGELA AND AAA ACCEPT ANGELA JOHN ANY+ONE AUSTRALIA ASIA AREA ANGELA
"once he learns the truth, he will be disgusted.",HEADACHE HEAR BELONG HEARING BELONG EXPERIENCE HERE LEARN BECOME MAYBE
"there was a lot of beer everwhere, and people mingling.",ATTENTION-WAVE AREA WHERE ABOUT ASIA AAA AREA ANGELA AND ACT AAA
"my friend looked at him and said ""oh, no, no...""",UNDERSTAND CAT UNDERSTAND UNDERSTAND THAT EAT FRIDAY FRIDAY END MEAT CHAT FRIEND LOOK BOAT
where did you put the tree?,PUT THANK-YOU GOOD/THANK-YOU THEN WHEW/RELIEVED LEAVE-THERE
when do you start travelling?,WHEN STAY DOCTOR WHEN WHERE
he decided to videotape himself riding on one wheel of the motorcycle.,VIDEOTAPE THEN HEADACHE MOTHER+FATHER ONE VIDEOTAPE SELF PERSON VIDEOTAPE TO/UNTIL ONE HEAR
he built himself a house made of wood.,IDEA SELF HERE ARRIVE AREA HEADACHE ANGELA ABOUT
