input sentence,translation
the same policy goes for sheep. on interstate 5 at one of the stops....,# IN IX REALLY REALLY REALLY IX IN FOOD GIVE WOW
john is in the house right now reading a book.,THAT JOHN IN IX BOOK IX IN IX
john will buy a car.,fs- JOHN # WHEN
father is mowing the grass.,POSS CAR HAVE THREE
"if i see that the beach is crowded, i won't go.",NOT REASON REALLY SCL IX # NO NOT # IX IX REALLY GIFT # BUT IN IN
my sister wants a headband for her birthday.,THAT SISTER IX GIFT IX HAVE IX
my aunt is making blueberry pie.,WIFE LIKE fs- HAVE BIG DIFFERENT BAD IN IX
"john was reading that book, what did he say it is about?",IN fs- REALLY IX FINISH READ IX IN FOOTBALL
mom likes surprises.,POSS MOTHER
john will have seen mary.,IX fs- JOHN IX MUST BETTER THAN IX HAVE REALLY WOW REALLY BAD
"the man who broke into a house in newton is probably the same person who broke into a house in brookline,",IX IN NOT FUNNY IX # DO THAT IX IN COP SCL # WHAT DCL
"...the quarterback, who has the running back behind him.  ",IX HAVE THREE IN IN CLASS_2 # NO LIKE IX # NO
which make noise ? which do not?  hmm. it depends.,REALLY
dad is like me. he likes chocolate cereal.,VEGETABLE IX IN NOT IX IX IX REALLY IX
is john buying a car?  in the future.,fs- JOHN IX IX LIKE POSS FATHER WOW/AWFUL IX HAVE WOW GOOD/THANK-YOU IX IX
who bought the car?,PLAN NOT LIKE IX REALLY IX
"oh no, my mom hates surprises.",REALLY POSS WIFE HAVE BOOK IN IN
"if he has time, he will bake cookies.",NOT SAME IX IN IN # BUT STILL LIKE POSS NOT IN REALLY WOW REALLY LIKE CHOCOLATE SCL REALLY IX REALLY WOW/AWFUL IX IN IN IX # NO REALLY WOW WOW LIKE WOW SCL
"when i introduce a friend, i will test whether or not he remembers his name later.",fs- REALLY HAVE BAD REALLY # DO SCL DCL MOTHER UPSET TOMORROW REALLY LIKE IX IX IX IX fs- DO AGAIN
...a big pile of grass that looked delicious!,REALLY
john gave some woman over there a book.,IN THAT SOMETHING/ONE DIFFERENT ONE BOOK SCL REALLY LIKE IN IN REALLY BAD IN IX IX
i just thought it was eleven guys hitting another eleven guys.,IN IX
third. there tends to be a tense. high pitch voice.  so...,REALLY HAVE IN THAT # REALLY fs- IN FOOD IX HAVE GOOD/THANK-YOU IX REALLY IX IX IN IX # REALLY NONE IN THAT BIG IX IX fs- ACCEPT IX IX BPCL
i can never find an umbrella when it rains.,NOT LIKE IX # NOT
