input sentence,translation
mary never started rowing.,IX fs- MARY IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX
all the boys each give the teacher an apple.,IX IX
"when i finish work, i will go home.",IX IX IX IX SAY IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX
mary is funny. she really wants an ugly dog.,IX fs- MARY IX SAY MAKE REALLY IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX
when did the president go to china?,IX IX IX LOOK IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX
what did john buy?  books.,fs- JOHN IX NOT THAT IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX
did bob give someone roses?,fs- fs- THAT IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX
you have to work all night?,IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX
"no, he's not from philadelphia.",IX IX IX IX LOOK IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX
have you met my new friend?,IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX
the teacher does not like movies.,IX IX IX IX WANT+NEG WANT+NEG WANT+NEG IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX
"when bob starts the fire, we will collect logs to keep it going.",fs- fs- MEAN IX
"if all the students pass the test, then there will be no school tomorrow.",IX IX IX IX
"a man walking saw money on the ground, and seeing no one was around, he pocketed it.",IX MAN IX MAN IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX
"so, what does deaf speech mean?",# IX IX IX
there are many implications associated with deaf experiences and trying to make accommodations. often people will hear a deaf person and criticize them and think there's something wrong until they find out the person is deaf and then the situation is excused. but there is still that initial rude stare because people aren't making that connection between what they hear and the deaf person.,IX TO/UNTIL IX DEAF IN IX
jack lied. he's not sick.,IX IX IX IX FINE IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX
"in one store, i was looking at this really nice silk shirt.",IX IX IX IX SAY IX THINK IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX
