input sentence,translation
my friend doesn`t want to buy a plaid shirt.,[
"as for the students, they gave a book to the teacher.",[
mother walked to the store.,[
i stay home when it rains.,[
is there bad weather in boston now?,[
the deaf person is signing over there but you are also hearing the voice of the interpreter over here.,[
friends are going to sunbathe at the beach.,[
she pulled a bunch of pots from the cabinet and went back upstairs to my room.,[
"his parents tried to tell him to stop. when he came out of the bathroom, his parents would say, ""you piss like a horse.""",[
"they have it on tape, beating him up.  ",[
he pries open each corner.,[
...like one side of me felt like hitting the cop.,[
"when john finds out about the test, he will freak out and need to read the book.",[
dana wanted a deaf sister.,[
did donna give you the money?,[
mother likes that book.,[
why is your friend addicted to the internet?,[
i told him/her tomorrow it would rain.,[
they will stop and make sure no one brings in any fruits or vegetables from mexico.,[
"we left.  as we were driving, we were really hungry.",[
did john buy many books? how many did he buy?,[
the hearing person was excited. he ran over to the car and started talking.,[
"when a bad storm comes to boston, i will stay home.",[
"if i enjoy talking with those two, it means that i should enjoy talking with all of bu.",[
the boss said his company would cover the costs for stitches on my finger and everything.,[
...like one side of me felt like hitting the cop.,[
the idea of realizing that deaf people's actions are beyond the cultural conception of noises.,[
i want to go out now.,[
"but, of course i couldn't do that.",[
"if mother goes to the store, she will buy milk.",[
i'm not going to move out to san diego because i'm not even ready.,[
"the three pigs said, ""no, we'll see about that.  go ahead--try.""",[
"if my friend finishes his homework early, he will surf the internet all night.",[
the teacher gave a book to all the students.,[
"i rang the doorbell, and the ra started struggling to get the door open.  i rang the doorbell across the hall, and they pulled back and forth!",[
"john drives mary to school, not work.",[
why is father upset?,[
mother does not like the movie.,[
that (right over there) is john's car.,[
did donna give you the money?,[
"no, my roommate wasn`t arrested; i just had breakfast with her.",[
mother does not like the movie.,[
"if my friend finishes his homework early, he will surf the internet all night.",[
the kid played in the park.,[
the reporter asked ali's wife if he was alright.,[
are the clothes really on sale?,[
"so, i will be analyzing what goes along with deaf speech.",[
is the water cold?,[
"he walked upstairs.  ""it couldn't be...""",[
ask for directions because i don't know where to go.,[
so i came to view the bathroom as the safe sanctuary for making those kinds of noises.,[
"my friend loves travelling, especially in asian countries because there`s more of a variety of things to do, compared to other countries.",[
"if the friends don't go out together, they will stay home and watch tv.",[
"when my friend goes sunbathing at the beach, i have to bring lotion.",[
the car really broke down.,[
"once john had found out that there is a test, he read the book.",[
i'm not going to move out to san diego because i'm not even ready.,[
a hidden expression to let the professor know that the syntax linguistics class is boring.,[
"so, the family must have a deaf role model supporting them.",[
"when john finds out about the test, he will freak out and need to read the book.",[
i need to pay rent.,[
did the teacher already buy a house yesterday?,[
that (right over there) is john's car.,[
"i picked up the shampoo bottle and dumped it on my hand.  right after i poured it, it hit me that i couldn't use that hand. ",[
"if the teacher requires it, then john will read a book.",[
bob frequently gives his sweetheart roses.,[
it makes sense because the parents will learn from the deaf mentor after including him/her in the family. the parents will start to realize how important it is to involve in the deaf community.,[
we hoped to get out of nevada soon so we wouldn't feel tempted to gamble again because we all had lost some money from gambling.,[
there is way more research focused on speech disorders than on good quality speech.,[
